Bitlink,Custom Bitlink,Date Created,Title,Long URL,Clicks for all time,Clicks for date range,Status
https://penncobaltplus.com/35r1wGN,https://penncobaltplus.com/survey,01/28/2022,,https://redcap.link/cobaltRCT?utm_source=redcap&utm_medium=screening&utm_campaign=survey,858,284,
http://penncobaltplus.com/34eQu6Y,http://penncobaltplus.com/connect-with-peer,01/28/2022,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=COACH&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=coach&utm_campaign=coach,349,172,
https://penncobaltplus.com/3vLl4Ax,https://penncobaltplus.com/ClinCardFAQ,05/05/2022,Box,https://upenn.box.com/s/mxlafo5echcubp30ru8kame54j0cc3h3?utm_source=visa+&utm_medium=clincard&utm_campaign=faq,103,103,
https://penncobaltplus.com/3G9GOYK,https://penncobaltplus.com/on-your-time,01/28/2022,Cobalt,https://www.penncobalt.com/on-your-time/6ceb326f-37be-4958-901c-63ce4ea38d94?utm_source=cobalt&utm_medium=monthly&utm_campaign=jan+2022,122,82,
https://penncobaltplus.com/3Hbgw9X,https://penncobaltplus.com/homepage,01/28/2022,Cobalt,https://www.penncobalt.com/?utm_source=cobalt&utm_medium=homepage&utm_campaign=homepage,138,81,
https://penncobaltplus.com/3KSNu0T,https://penncobaltplus.com/in-the-studio,01/28/2022,Cobalt,https://www.penncobalt.com/in-the-studio?utm_source=cobalt&utm_medium=static&utm_campaign=studio,75,75,
http://penncobaltplus.com/32J7q5g,http://penncobaltplus.com/connect-with-support,01/28/2022,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=CLINICIAN&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=therapist&utm_campaign=therapist,155,64,
https://penncobaltplus.com/3GexGSC,https://penncobaltplus.com/connect-with-care,01/28/2022,Cobalt,https://www.penncobalt.com/connect-with-support?supportRoleId=PSYCHIATRIST&immediateAccess=false&track=true&accountSourceId=PENN_KEY_SSO&utm_source=cobalt&utm_medium=psych&utm_campaign=psych,30,19,
https://penncobaltplus.com/3MMqxwE,,05/02/2022,Cobalt,https://www.penncobalt.com/on-your-time/c70616c0-c2c6-49d8-8757-4a21ed80b892?utm_source=cobalt&utm_medium=top&utm_campaign=may+2022,15,15,
https://penncobaltplus.com/3MOkJmq,,05/02/2022,Cobalt,https://www.penncobalt.com/on-your-time/74ca8a76-e46d-46a9-b411-77c3ca9352ca?utm_source=cobalt&utm_medium=top&utm_campaign=may+2022,11,11,
https://penncobaltplus.com/3OTF9Mo,,05/02/2022,Cobalt,https://www.penncobalt.com/on-your-time/8e36d2bc-cb47-456f-b8d2-7936cef2056d?utm_source=cobalt&utm_medium=top&utm_campaign=may+2022,10,10,
https://penncobaltplus.com/3AHZaic,https://penncobaltplus.com/pennkeyusername,01/28/2022,Forgot My PennKey Username,https://challengeresponse.apps.upenn.edu/challengeResponse/jsp/fast.do?fastStart=forgotMyUsername&utm_source=penn&utm_medium=pennkey&utm_campaign=username,4,1,
https://penncobaltplus.com/36KGmVb,,04/01/2022,Cobalt,https://www.penncobalt.com/on-your-time/719225f9-4d01-4e6d-92aa-3cbb82003f02?utm_source=cobalt&utm_medium=april+populat+content&utm_campaign=april+2022+popular+content,3,1,
https://penncobaltplus.com/3r7SB5s,https://penncobaltplus.com/pennkeyrecovery,01/28/2022,PennKey Recovery Service,https://challengeresponse.apps.upenn.edu/challengeResponse/jsp/fast.do?fastStart=resetPassword&utm_source=penn&utm_medium=key&utm_campaign=password,1,1,
https://penncobaltplus.com/3m10V3J,,05/31/2022,Cobalt,https://www.penncobalt.com/on-your-time/74ca8a76-e46d-46a9-b411-77c3ca9352ca?utm_source=cobalt&utm_medium=monthly+3&utm_campaign=june+2022,1,1,
